,Food Name,Meal,Portion,Calories,Protein,Carbs,TransFat,Vitamin C,Sodium
94,Ezekiel Sprouted Grain Tortilla,Dinner,1 each,0,0,0,0,0,0
95,Sliced Jalapeno Peppers,Dinner,1 oz,3,0,0,0,6,105
96,Sliced Roma Tomatoes,Dinner,2 oz,4,0,1,0,3,1
97,"Spinach Tortilla 12""",Dinner,1 each,298,8,49,0,0,711
98,"Tomato Tortilla 12""",Dinner,1 each,298,8,49,0,6,678
99,Vegan Chipotle Mayonnaise,Dinner,1 oz,96,0,2,0,0,169
100,Vegan Mayonnaise,Dinner,1 oz,101,0,2,0,0,172
101,Vegan Shredded Cheddar Cheese,Dinner,1 oz,81,0,6,0,1,293
102,Vegan Shredded Pepper Jack Cheese,Dinner,1 oz,85,0,5,0,0,255
103,Vegan Sliced Gouda Cheese,Dinner,1 slice,85,0,5,0,0,255
104,Vegan Sliced Provolone Cheese,Dinner,1 slice,59,0,3,0,0,178
105,Penne with Lentil Ragout,Dinner,4 oz,141,7,27,0,7,52
106,Guacamole,Dinner,1 oz,23,0,1,0,1,56
107,Caesar Dressing,Dinner,1 oz,120,1,1,0,1,320
108,Feta Cheese,Dinner,1 OZ,74,4,1,0,0,316
109,Oatmeal Raisin Cookie,Dinner,1 each,177,2,25,0,0,98
110,Broccoli,Dinner,1 oz,7,0,1,0,1,7
111,Soy Butter Glazed Mushrooms,Dinner,3 oz,100,2,3,0,1,108
112,Buttermilk Biscuit,Dinner,1 each,272,6,34,6,0,847
113,Chef's Fresh Mashed Potatoes,Dinner,4 oz,135,2,18,0,5,30
114,Chicken Gravy,Dinner,2 oz,23,0,4,0,0,39
115,Collard Green with Smoked Turkey,Dinner,4 oz,67,7,10,0,24,61
116,Cornbread Muffin,Dinner,1 each,191,2,33,0,0,393
117,Fresh Roasted Carrots,Dinner,4 oz,51,1,9,0,68,328
118,Fresh Steamed Broccoli,Dinner,4 oz,20,0,3,0,9,20
119,Chicken Salad,Dinner,3 oz,194,7,6,0,0,469
120,Five Cheese Macaroni Bake,Dinner,4 oz,263,12,19,0,0,438
121,Green Peas and Pearl Onions,Dinner,3 oz,77,4,12,0,15,538
122,Jerk Roasted Sweet Potatoes,Dinner,4 oz,93,1,21,0,3,136
123,Roasted Brussels Sprouts Butternut Squash and Feta Cheese,Dinner,3 oz,79,2,12,0,5,178
124,Sweet Corn Pudding,Dinner,3 oz,159,6,14,0,2,318
125,Beef Burger,Dinner,1 each,222,15,0,0,0,467
126,Cheddar Burger,Dinner,1 each,276,18,0,0,0,358
127,Kale Apple Orange Smoothie,Dinner,4 oz,72,1,17,0,27,29
128,Banana Coconut Yogurt Smoothie,Dinner,4 oz,109,2,18,0,3,31
129,Yellow Mustard,Dinner,1/2 oz,14,0,0,0,0,170
130,White Bread Sliced,Dinner,2 slices,90,0,11,0,0,95
131,Ham Sliced,Dinner,3 oz,151,10,2,0,0,911
132,Leaf Lettuce,Dinner,1/4 oz,17,1,3,0,20,31
133,Mayonnaise,Dinner,1/2 oz,37,0,0,0,0,89
134,Pickle Slice,Dinner,1 oz,5,0,1,0,0,335
135,"Plain Tortilla 12""",Dinner,1 each,312,9,52,0,0,676
136,Potato Chips,Dinner,2 oz,324,4,30,0,12,344
137,Pretzels (bag),Dinner,2 oz,207,5,47,0,0,472
138,Provolone Cheese Sliced,Dinner,1 each,75,5,0,0,0,182
139,Grilled Basil Pesto Chicken Breast,Dinner,1 each,46,0,1,0,1,19
140,Carrot Sticks,Dinner,1 oz,11,0,2,0,2,21
141,Rye Bread,Dinner,2 slices,234,7,43,0,0,598
142,Sliced Tomatoes,Dinner,2 each,6,0,1,0,4,0
143,Swiss Cheese Sliced,Dinner,1 each,50,4,0,0,1,30
144,Tuna Salad,Dinner,3 oz,255,7,4,0,0,620
145,Turkey Sliced,Dinner,3 oz,75,13,1,0,0,683
146,Wheat Bread Sliced,Dinner,2 slices,231,9,41,0,0,417
147,American Cheese Sliced,Dinner,1 each,55,3,0,0,0,182
148,"Wheat Tortilla 12""",Dinner,1 each,278,8,48,0,0,721
149,Cheddar Cheese Sliced,Dinner,1 each,54,3,0,0,0,94
150,Grilled Basil Pesto Chicken Breast w/ Provolone,Dinner,1 each,97,3,1,0,1,140
151,Fresh Steamed Green Beans,Dinner,4 oz,28,1,7,0,5,34
152,BBQ Sauce,Dinner,1 oz,56,0,14,0,1,364
153,Shredded Cheddar Cheese,Dinner,1 oz,111,7,0,0,0,182
154,Pico de Gallo,Dinner,1 oz,9,0,1,0,2,195
155,Garlic Herb Roasted Yukon Gold Potatoes,Dinner,4 oz,162,2,25,0,7,144
156,Cream of Tomato Soup,Dinner,6 oz,187,2,17,0,5,1123
157,Sliced Mushroom,Dinner,1 oz,6,1,1,0,0,5
158,Spinach,Dinner,2 oz,13,1,2,0,15,44
159,Tomatoes Diced,Dinner,1 oz,5,0,1,0,3,0
160,Cauliflower Chickpea Veggie Tots,Dinner,3 oz,151,3,21,0,9,201
161,Cheese Pizza,Dinner,1 slice,190,13,16,0,5,659
162,Italian Sausage Pizza,Dinner,1 slice,291,17,18,0,5,972
163,Grilled Hot Dog,Dinner,1 each,168,9,0,0,0,826
164,Pepperoni Pizza,Dinner,1 slice,220,14,16,0,5,758
165,Apple,Dinner,1 each,74,0,19,0,2,0
166,Baba Ghanoush,Dinner,2 oz,222,2,2,0,0,364
167,Balsamic Dressing,Dinner,1 oz,56,0,3,0,0,179
168,Banana,Dinner,1 each,109,1,28,0,10,1
169,Beets,Dinner,1 oz,13,0,3,0,0,0
170,Black Beans,Dinner,1 oz,28,1,3,0,0,85
171,Blue Cheese Dressing,Dinner,1 oz,151,0,0,0,0,236
172,Tuna Salad Cheddar Melt,Dinner,1 each,566,20,41,0,0,1216
173,Smoked Pork Green Chili Salad,Dinner,3 oz,185,8,4,0,7,279
174,Mediterranian Vegetable Melt,Dinner,1 each,380,13,47,0,242,744
175,Vegetable Pizza,Dinner,1 slice,151,10,15,0,11,497
176,Shredded Lettuce,Dinner,1 oz,4,0,0,0,6,2
177,Celery Sticks,Dinner,1 oz,3,0,0,0,2,29
178,Brown Rice,Dinner,4 oz,134,2,28,0,0,41
179,Bacon Bits,Dinner,1 oz,127,11,0,0,0,603
180,Tater Tots,Dinner,4 oz,70,0,8,0,0,148
181,Spicy Brown Mustard,Dinner,1 oz,148,7,11,0,0,1
182,Beef Chow Fun,Dinner,6 oz,430,6,30,0,8,109
183,Diced Green Peppers,Dinner,1 oz,5,0,1,0,218,0
184,Taco Shell,Dinner,1 each,51,0,6,0,0,0
185,Tabasco Onions,Dinner,1 oz,80,2,17,0,3,30
186,Potato Hamburger Roll,Dinner,1 each,134,4,26,0,0,245
187,Carrot and Daikon Stir Fry,Dinner,3 oz,82,1,8,0,6,308
188,Fried Jalapeno Peppers,Dinner,1 oz,15,1,3,0,6,105
189,Dijon Mustard,Dinner,1 oz,29,0,0,0,0,711
190,Potato Hot Dog Roll,Dinner,1 each,140,4,27,0,0,250
191,Butter,Lunch,1 oz,202,0,0,0,0,0
192,Maple Syrup,Lunch,1 oz,57,0,15,0,0,66
193,"Buffalo Chicken, Grilled Onion, Tomato & Provolone Sandwich",Lunch,1 ea,700,44,70,0,5,2086
194,Black Bean Basmati Cheddar Pico Wrap,Lunch,1 ea,427,14,60,0,8,542
195,Vegan Cream Cheese,Lunch,1 oz,75,0,3,0,0,113
196,Scrambled Cheesy Cheddar Egg,Lunch,4 1/2 oz,241,18,1,0,0,223
197,Margarine,Lunch,1 oz,202,0,0,0,0,212
198,Over Hard Fried Eggs,Lunch,1 ea,91,7,0,0,0,79
199,Bacon,Lunch,2 ea,241,15,0,0,0,997
200,Pancakes Blueberry,Lunch,1 ea,89,1,13,0,0,236
201,Pancakes Chocolate Chips,Lunch,1 ea,89,1,13,0,0,236
202,Southwestern Vegetable Hash,Lunch,3 oz,41,1,7,0,60,88
203,Pancakes Plain,Lunch,1 ea,107,1,15,0,0,284
204,Scrambled Eggs,Lunch,4 1/2 oz,215,16,1,0,0,181
205,Biscuit,Lunch,1 ea,272,6,34,0,0,846
206,Scrambled Egg Whites,Lunch,4 oz,72,12,1,0,0,192
207,Grilled English Muffin,Lunch,1 each,136,3,24,0,0,198
208,Hard Boiled Egg (Breakfast),Lunch,1 each,72,6,0,0,0,70
209,Vegan Vanilla Soy Yogurt,Lunch,4 oz,0,0,0,0,0,0
210,Breakfast Potatoes w/ Peppers & Onions,Lunch,4 oz,67,1,14,0,75,38
211,Vegan Sour Cream,Lunch,1 oz,40,1,3,0,0,30
212,Blueberry Yogurt,Lunch,3 oz,67,2,14,0,0,37
213,Vegan Waffle French Toast,Lunch,1 each,808,21,135,0,0,1804
214,Mixed Vegetables,Lunch,1 oz,22,0,3,0,1,4
215,Lite Soy Sauce,Lunch,1 oz,19,1,1,0,0,1135
216,Kimchi,Lunch,1 oz,6,0,1,0,3,324
217,Italian Hummus,Lunch,1 OZ,45,1,3,0,0,54
218,Italian Creamy,Lunch,1 oz,110,0,6,0,0,260
219,Grits,Lunch,3 oz,60,1,13,0,0,1
220,Diced Ham,Lunch,2 oz,101,6,1,0,0,607
221,Oatmeal,Lunch,3 oz,340,11,61,0,0,3
222,Grapefruit Half,Lunch,1 half,36,0,9,0,45,0
223,Fried Shallot,Lunch,1 oz,17,0,4,0,1,2
224,Egg Whites,Lunch,4 oz,56,12,1,0,0,192
225,Liquid Eggs (Omelet Station),Lunch,4 oz,170,14,1,0,0,158
226,Breakfast Pizza,Lunch,1 slice,620,23,16,0,0,801
227,Chopped Green Onions,Lunch,1 oz,9,0,2,0,3,4
228,Chicken Congee,Lunch,4 oz,214,8,35,0,0,615
229,Cereal Granola,Lunch,5 oz,193,3,41,0,0,82
230,Diced Onions,Lunch,1 oz,11,0,2,0,2,1
231,Roasted Corn,Lunch,3 oz,129,3,26,0,5,46
232,Sliced Lemons,Lunch,1 each,3,0,1,0,5,0
233,Special K Berry,Lunch,5 oz,321,5,79,0,61,556
234,Vegan Kung Pao Tofu,Lunch,4 oz,119,10,8,0,97,91
235,Vegan Chicken Slider,Lunch,2 oz,109,8,9,0,0,199
236,Vegan Blueberry Muffin,Lunch,1 each,281,4,42,0,0,221
237,Cinnamon Apple French Toast Casserole,Lunch,4 oz,243,10,45,0,0,595
238,Cheddar Green Chili Roasted Potatoes,Lunch,4 oz,110,1,16,0,53,135
239,Cinnamon Scone,Lunch,1 each,431,8,50,0,0,471
240,Whipped Cream,Lunch,1 oz,35,0,2,0,0,0
241,Waffle,Lunch,7 oz,784,16,71,0,0,1342
242,Strawberry Cream Cheese,Lunch,1 oz,99,7,4,0,1,78
243,Plain Cream Cheese,Lunch,1 oz,101,9,1,0,0,96
244,Donuts,Lunch,1 ea,728,10,92,0,0,258
245,Cream Cheese Onion and Chive,Lunch,1 oz,92,8,1,0,0,85
246,Bagels,Lunch,1 ea,294,10,60,0,0,376
247,Yogurt Plain,Lunch,3 oz,77,3,14,0,0,54
248,Mini Croissant,Lunch,1 each,123,2,14,0,33,135
249,Vanilla Greek Yogurt,Lunch,4 oz,85,9,14,0,0,37
250,Strawberry Yogurt,Lunch,3 oz,67,2,14,0,1,39
251,Warm Cinnamon Berry Quinoa,Lunch,4 oz,122,3,25,0,6,15
252,Strawberry Topping,Lunch,2 oz,94,0,20,0,9,7
